epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,519.7,2.214,1.271,1.37,0.763,0.691,0.715,0.375,,,,0.002,0.002,0.002
2,1039.4,1.684,0.8632,1.098,0.82,0.731,0.771,0.424,,,,0.002,0.002,0.002
3,1559.1,1.609,0.8188,1.056,0.831,0.738,0.787,0.445,,,,0.002,0.002,0.002
4,2078.8,1.585,0.8005,1.041,0.841,0.751,0.8,0.458,,,,0.002,0.002,0.002
5,2598.5,1.551,0.7758,1.028,0.849,0.762,0.815,0.464,,,,0.002,0.002,0.002
6,3118.2,1.531,0.7599,1.019,0.858,0.765,0.818,0.472,,,,0.002,0.002,0.002
7,3637.9,1.512,0.7453,1.015,0.863,0.773,0.823,0.479,,,,0.002,0.002,0.002
8,4157.6,1.501,0.7321,1.006,0.866,0.781,0.833,0.484,,,,0.002,0.002,0.002
9,4677.3,1.492,0.7251,1.004,0.867,0.779,0.826,0.485,,,,0.002,0.002,0.002
10,5197.0,1.481,0.7154,0.999,0.873,0.79,0.839,0.493,,,,0.002,0.002,0.002
11,5716.7,1.483,0.7134,0.9976,0.87,0.786,0.836,0.493,,,,0.002,0.002,0.002
12,6236.4,1.471,0.7068,0.9966,0.876,0.789,0.841,0.496,,,,0.002,0.002,0.002
13,6756.1,1.466,0.7025,0.9935,0.882,0.793,0.849,0.502,,,,0.002,0.002,0.002
14,7275.8,1.457,0.6963,0.9908,0.879,0.798,0.85,0.503,,,,0.002,0.002,0.002
15,7795.5,1.456,0.6913,0.9901,0.881,0.799,0.851,0.505,,,,0.002,0.002,0.002
16,8315.2,1.446,0.6846,0.9864,0.884,0.796,0.851,0.506,,,,0.002,0.002,0.002
17,8834.9,1.439,0.6811,0.9839,0.881,0.801,0.851,0.508,,,,0.002,0.002,0.002
18,9354.6,1.437,0.6774,0.9836,0.885,0.803,0.854,0.508,,,,0.002,0.002,0.002
19,9874.3,1.438,0.6765,0.9837,0.885,0.805,0.856,0.513,,,,0.002,0.002,0.002
20,10394.0,1.435,0.6729,0.9818,0.886,0.804,0.854,0.511,,,,0.002,0.002,0.002
21,10913.7,1.409,0.6652,0.9978,0.886,0.8,0.854,0.511,,,,0.002,0.002,0.002
22,11433.4,1.403,0.6577,0.9943,0.886,0.804,0.855,0.513,,,,0.002,0.002,0.002
23,11953.1,1.399,0.6549,0.9937,0.888,0.805,0.857,0.515,,,,0.002,0.002,0.002
24,12472.8,1.394,0.6496,0.9917,0.891,0.805,0.858,0.515,,,,0.002,0.002,0.002
25,12992.5,1.389,0.6442,0.9893,0.891,0.807,0.858,0.517,,,,0.002,0.002,0.002
26,13512.2,1.387,0.6415,0.989,0.892,0.808,0.858,0.518,,,,0.002,0.002,0.002
27,14031.9,1.382,0.6381,0.9869,0.894,0.806,0.859,0.519,,,,0.002,0.002,0.002
28,14551.6,1.379,0.6355,0.9862,0.892,0.809,0.859,0.519,,,,0.002,0.002,0.002
29,15071.3,1.378,0.6331,0.9841,0.893,0.808,0.864,0.52,,,,0.002,0.002,0.002
30,15591.0,1.377,0.632,0.9855,0.892,0.81,0.865,0.521,,,,0.002,0.002,0.002
